a small publishing company has a 1 time product cost for editing and printing of 56,430 .00 dollars . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBZ0 NP0 NP1 NP2 NP3 NP4 IN0 NN0 CC0 NN0 PP0 PP1 PP2 PP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
he invested part of the money at 9 % and the rest at 8 % . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 NP2 NP3 PP0 PP1 PP2 CC0 VP0 VP1 VP2 VP3 VP4 .0 CANNOTDISTRIBUTE	he invested part of the money at 9 % . he invested the rest of the money at 8 % .
how many adult tickets and how many childrens tickets were sold ? CANNOTDISTRIBUTE	WHNP0 WHNP1 WHNP2 WHNP3 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 .0 CANNOTDISTRIBUTE	how many adult tickets were sold ? how many childrens tickets were sold ?
how many are pigs are there and how many chicken are there ? CANNOTDISTRIBUTE	WHNP0 WHNP1 SQ0 SQ1 SQ2 SQ3 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 .0 CANNOTDISTRIBUTE	how many are pigs are there ? how many chicken are there ?
she has a 25 % copper solution and a 50 % copper solution . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	she has a 25 % copper solution . she has a 50 % copper solution
how many wins and ties did the team have ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 CC0 NNS0 SQ0 SQ1 SQ2 SQ3 .0 CANNOTDISTRIBUTE	how many wins did the team have ? how many ties did the team have ?
you buy 25 boxes of candy and spend 28 .00 dollars . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 IN0 NN0 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	you buy 25 boxes of candy . you spend 28 .00 dollars .
upon checking the acid solution supplies , the supervisor has found some 25 % acid solution and some 50 % acid solution , but there is no 40 % acid solution . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 PP4 PP5 ,0 NP0 NP1 VBZ0 VBN0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	upon checking the acid solution supplies , the supervisor has found some 25 % acid solution , but there is no 40 % acid solution . upon checking the acid solution supplies , the supervisor has found some 50 % acid solution , but there is no 40 % acid solution .
the difference between 0 .75 of a line and 0 .4 of the same line is 28 centimeters . CANNOTDISTRIBUTE	NP0 NP1 IN0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 NP5 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many pounds of 9 dollars coffee and how many pounds of 4 dollars coffee must be mixed to get 20 pounds of coffee that sells for 8 .25 dollars per pound ? CANNOTDISTRIBUTE	WHNP0 WHNP1 WHNP2 PP0 PP1 PP2 PP3 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 SBAR12 SBAR13 SBAR14 SBAR15 SBAR16 SBAR17 SBAR18 SBAR19 SBAR20 SBAR21 SBAR22 SBAR23 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many children and adults attended ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 CC0 NNS0 VP0 .0 CANNOTDISTRIBUTE	how many children attended ? how many adults attended ?
norman and suzanne scarpulla own 35 shares of mcdonald 's stocks and 69 shares of the ohio art company stock . CANNOTDISTRIBUTE	NP0 CC0 NP0 NP1 JJ0 NP0 NP1 NP2 NP3 NP4 NP5 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 .0 CANNOTDISTRIBUTE	norman and suzanne scarpulla own 35 shares of mcdonald 's stocks . norman and suzanne scarpulla own 69 shares of ohio art company stocks .
joan found 72 seashells and 12 starfishes on the beach . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	joan found 72 seashells on the beach . joan found 12 starfishes on the beach .
mary picked 14 oranges and jason picked 41 oranges . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	mary picked 14 oranges . jason picked 41 oranges .
if one travels at a constant speed of 52 miles per hour and the other travels at a constant speed of 58 miles per hour . CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 SBAR9 SBAR10 SBAR11 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 .0 CANNOTDISTRIBUTE	if one travels at a constant speed of 52 miles per hour . if one travels at a constant speed of 58 miles per hour .
they found that the orange ring weighed 0 .08333333333333333 ounce , the purple ring weighed 0 .3333333333333333 ounce , and the white ring weighed 0 .4166666666666667 ounce . CANNOTDISTRIBUTE	NP0 VBD0 IN0 S0 S1 S2 S3 S4 S5 S6 ,0 S0 S1 S2 S3 S4 S5 S6 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	they found that the orange ring weighed 0 .08333333333333333 ounce . they found that the purple ring weighed 0 .3333333333333333 ounce . they found that the white ring weighed 0 .4166666666666667 ounce .
jason picked 46 pears , keith picked 47 pears , and mike picked 12 pears from the pear tree . CANNOTDISTRIBUTE	S0 S1 S2 S3 ,0 S0 S1 S2 S3 ,0 CC0 S0 S1 S2 S3 S4 S5 S6 S7 .0 CANNOTDISTRIBUTE	jason picked 46 pears from the pears tree . keith picked 47 pears from the pears tree . mike picked 12 pears from the pears tree .
class a and class b donated their class fund totaling 127 dollars to an orphanage . CANNOTDISTRIBUTE	NN0 NP0 CC0 NN0 NN0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the jet 's speed and the wind speed . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	find the jet 's speed . find the wind speed .
2 trains leave simultaneously traveling on the same track in opposite directions at speeds of 50 and 64 miles per hour . CANNOTDISTRIBUTE	NP0 NP1 VBP0 ADVP0 VBG0 PP0 PP1 PP2 PP3 PP0 PP1 PP2 IN0 NP0 IN0 CD0 CC0 CD0 NNS0 PP0 PP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
lane invested 22,000 dollars , part at 8 % and part at 7 % . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 ,0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	lane invested 22 ,000 dollars , part at 8 % . lane invested 22 ,000 dollars , part at 7 % .
allan answered all of the questions and received a final score of 100 points . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	allan answered all of the questions . allan received a final score of 100 points .
the jurassic zoo charges 8 dollars for each adult and 4 dollars for each child . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	the jurassic zoo charges 8 dollars for each adult . the jurassic zoo charges 4 dollars for each child .
there are 301 apples and oranges all together . CANNOTDISTRIBUTE	NP0 VBP0 CD0 NNS0 CC0 NNS0 ADVP0 ADVP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
jerrerson plans on spending 502 dollars on 14 meals and 4 nights in a hotel . CANNOTDISTRIBUTE	NP0 NNS0 IN0 VBG0 NP0 NP1 IN0 NP0 NP1 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
find the cost of one cup of coffee and the cost of one bagel . . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 NP0 NP1 NP2 NP3 NP4 .0 .0 CANNOTDISTRIBUTE	find the cost of one cup of coffee find the cost of one bagel . .
you buy 10 discs and spend a total of 93 dollars . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 CC0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	you buy 10 discs . you spend a total of 93 dollars .
eldora and finn went to an office supply store together . CANNOTDISTRIBUTE	VB0 CC0 NNS0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
miki 's sandcastle was 0 .8333333333333334 foot tall and her sister 's was 0 .5 foot tall . CANNOTDISTRIBUTE	NP0 NP1 NN0 VP0 VP1 VP2 VP3 VP4 CC0 S0 S1 S2 S3 S4 S5 S6 S7 .0 CANNOTDISTRIBUTE	miki 's sandcastle 's 0 .8333333333333334 foot tall . miki 's sister 's sandcastle 's 0 .5 foot tall .
sally had 8 pennies and 7 nickels in her bank . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	sally had 8 pennies in her bank . sally had 7 nickels in her bank .
stan invested 17,000 dollars , part at 18 % and part at 4 % . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 ,0 NP0 NP1 NP2 NP3 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	stan invested 17 ,000 dollars , part at 18 % . stan invested 17 ,000 dollars , part at 4 % .
there are 850 douglas fir and ponderosa pine trees in a section of the forest bought by sawz logging company . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 PP0 PP1 PP2 PP3 PP4 PP5 PP6 PP7 PP8 PP9 PP10 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
there are 301 apples and oranges all together . CANNOTDISTRIBUTE	NP0 VBP0 CD0 NNS0 CC0 NNS0 ADVP0 ADVP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
lane invested 22,000 dollars , part at 8 % and part at 7 % . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 ,0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	lane invested 22 ,000 dollars , part at 8 % . lane invested 22 ,000 dollars , part at 7 % .
two cyclists start at the same point and travel in opposite directions . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 VP4 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	two cyclists start at the same point . two cyclists travel in opposite directions .
if they leave at the same time , and from the same place , in how many hours will they be 2100 miles apart ? CANNOTDISTRIBUTE	IN0 NP0 VBP0 PP0 PP1 PP2 PP3 ,0 CC0 PP0 PP1 PP2 PP3 ,0 IN0 WHNP0 WHNP1 WHNP2 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a hotel purchased 38 bath towels and 61 washcloths for a total cost of 791 .50 dollars . CANNOTDISTRIBUTE	NP0 NP1 VBD0 NP0 NP1 NP2 CC0 NP0 NP1 PP0 PP1 PP2 PP3 PP4 PP5 PP6 PP7 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the first agency charges 20 .25 dollars per day and 0 .14 dollars per mile . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	the first agency charges 20 .25 dollars per day . the first agency charges 0 .14 dollars per mile .
a woman has 450 dollars invested , part at 2 % and the remainder at 3 % simple interest . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 ,0 NP0 NP1 NP2 NP3 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a worker gets 60 cents an hour for ordinary time and 90 cents an hour for overtime . CANNOTDISTRIBUTE	NP0 NP1 VBZ0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	a worker gets 60 cents an hour for ordinary time . a worker gets 90 cents an hour for overtime .
how many adult tickets and how many childrens tickets were sold ? CANNOTDISTRIBUTE	WHNP0 WHNP1 WHNP2 WHNP3 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 .0 CANNOTDISTRIBUTE	how many adult tickets were sold ? how many childrens tickets were sold ?
how much of the 80 % base and the 30 % base should be used ? CANNOTDISTRIBUTE	X0 X1 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 VP0 VP1 VP2 .0 CANNOTDISTRIBUTE	how much of the 80 % base should be used ? how much of the 30 % base should be used ?
tickets for a show cost 6 .00 dollars for adults and 4 .50 dollars for children . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBD0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	tickets for a show cost 6 .00 dollars for adults . tickets for a show cost 4 .50 dollars for children .
the 1st team travel east at 20 miles per hour and the 2nd team travels west at 30 miles per hour . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 CC0 S0 S1 S2 S3 S4 S5 S6 S7 S8 S9 .0 CANNOTDISTRIBUTE	the 1st team travel east at 20 miles per hour . the 2nd team travel west at 30 miles per hour .
joan bought toy cars for $ 14 .88 , a skateboard for $ 4 .88 , and got toy trucks for $ 5 .86 . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 PP0 PP1 PP2 PP3 ,0 NP0 NP1 NP2 NP3 NP4 NP5 ,0 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	joan bought toy cars for $14 .88 joan bought a skateboard for $4 .88 joan got toy trucks for $5 .86
a mixture of water and antifreeze in a car is 10 % antifreeze . CANNOTDISTRIBUTE	NP0 NP1 IN0 NN0 CC0 NN0 PP0 PP1 PP2 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many main seat tickets and back seat tickets were sold ? CANNOTDISTRIBUTE	WRB0 JJ0 JJ0 NN0 NNS0 CC0 NP0 NP1 NP2 VP0 VP1 .0 CANNOTDISTRIBUTE	how many main seat tickets were sold ? how many back seat tickets were sold ?
the difference of twice of one of them and the other one is 5 . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 CC0 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
you must report the number of hot dogs and sodas sold . CANNOTDISTRIBUTE	NP0 MD0 VB0 NP0 NP1 IN0 JJ0 NNS0 CC0 NNS0 VP0 .0 CANNOTDISTRIBUTE	you must report the number of hot dogs sold you must report the number of sodas sold
some are chickens and some are pigs . CANNOTDISTRIBUTE	S0 S1 S2 CC0 S0 S1 S2 .0 CANNOTDISTRIBUTE	some are chickens . some are pigs .
if he enjoys the work at the library more , how many hours can he work at the library and still earn at 300 dollars a week ? CANNOTDISTRIBUTE	SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 ,0 WHNP0 WHNP1 WHNP2 MD0 NP0 VP0 VP1 VP2 VP3 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
tom had 27 pennies and 15 dimes in his bank . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	tom had 27 pennies in his bank . tom had 15 dimes in his bank .
floor seats were 36 dollars and stadium seats were 28 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 CC0 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	floor seats were 36 dollars . stadium seats were 28 dollars .
find x and y , the number of pounds of each type . CANNOTDISTRIBUTE	VB0 XX0 CC0 PRP0 ,0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
2 automobiles start out from two points 600 kilometers apart and travel toward each other .the automobile from the east travels at 10 kilometers faster than the automobile from the west . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 CC0 VB0 PP0 PP1 PP2 HYPH0 NN0 PP0 PP1 PP2 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a building with 12 units consists of 1 bedrooms costing 360 dollars and 2 bedrooms costing 450 dollars respectively . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NNS0 IN0 NP0 NP1 NP2 NP3 NP4 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	a building with 12 units consists of 1 bedrooms costing 360 dollars . a building with 12 units consists of 2 bedrooms costing 450 dollars
find rita 's paddling speed in still water and the speed of the river 's current . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 NP3 PP0 PP1 PP2 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 .0 CANNOTDISTRIBUTE	find rita 's paddling speed in still water . find the speed of the river 's current .
a physician 's assistant measures a child and finds that his height is 41 .5 inches . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VP0 VP1 VP2 CC0 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 .0 CANNOTDISTRIBUTE	a physician 's assistant measures a child . a physician 's assistant finds that his height 's 41 .5 inches .
floor seats cost 12 dollars each and balcony seats 10 dollars each . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 S4 .0 CANNOTDISTRIBUTE	floor seats cost 12 dollars each . balcony seats cost 10 dollars each .
susan spent 20 dollars for a total of 36 pens and pencils . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 IN0 NP0 NP1 IN0 CD0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
tom found 15 seashells and fred found 43 seashells on the beach . CANNOTDISTRIBUTE	NP0 VBD0 NP0 NP1 CC0 NP0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	tom found 15 seashells on the beach . fred found 43 seashells on the beach .
some parts cost 20 dollars per part and other parts cost 50 dollars per part . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 S6 CC0 S0 S1 S2 S3 S4 S5 S6 .0 CANNOTDISTRIBUTE	some parts cost 20 dollars per parts . other parts cost 50 dollars per parts .
student tickets cost 4 dollars and general admission tickets cost 6 dollars . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 CC0 S0 S1 S2 S3 S4 S5 .0 CANNOTDISTRIBUTE	student tickets cost 4 dollars . general admission tickets cost 6 dollars .
the admission fee at an amusement park is 1 .5 dollars for children and 4 dollars for adults . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 NP5 NP6 VBZ0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	the admission fee at an amusement park is 1 .5 dollars for children the admission fee at an amusement park is 4 dollars for adults
the us senate had a total of 99 democrats and republicans . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBD0 NP0 NP1 IN0 CD0 NNS0 CC0 NNS0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
harold had a summer lemonade stand where he sold small cups of lemonade for 1 .25 dollars and large cups for 2 .50 dollars . CANNOTDISTRIBUTE	NP0 VBD0 DT0 NN0 NN0 VB0 WHADVP0 NP0 VBD0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 CC0 NP0 NP1 NP2 NP3 NP4 NP5 .0 CANNOTDISTRIBUTE	harold had a summer lemonade stand where he sold small cups of lemonade for 1 .25 dollars . harold had a summer lemonade stand where he sold large cups of lemonade for 2 .50 dollars .
2 automobiles start out from two points 600 kilometers apart and travel toward each other .the automobile from the east travels at 10 kilometers faster than the automobile from the west . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 CC0 VB0 PP0 PP1 PP2 HYPH0 NN0 PP0 PP1 PP2 VP0 VP1 VP2 VP3 VP4 VP5 VP6 VP7 VP8 VP9 VP10 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the admission price was 2 dollars for adults and 1 dollars for children . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	the admission price was 2 dollars for adults . the admission price was 1 dollars for children .
how many crocus bulbs and daffodil bulbs can you buy ? CANNOTDISTRIBUTE	WRB0 JJ0 JJ0 NNS0 CC0 NP0 NP1 SQ0 SQ1 SQ2 .0 CANNOTDISTRIBUTE	how many crocus bulbs can you buy ? how many daffodil bulbs can you buy ?
what is the individual cost for each rose and daisy ? CANNOTDISTRIBUTE	WHNP0 VBZ0 NP0 NP1 NP2 IN0 DT0 NN0 CC0 NN0 .0 CANNOTDISTRIBUTE	what is the individual cost for each rose ? what is the individual cost for each daisy ?
jason has 7 violet balloons and 4 red balloons . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 .0 CANNOTDISTRIBUTE	jason has 7 violet balloons . jason has 4 red balloons .
a total of 10,000 dollars was invested in two bond mutual funds , a junk bond fund and a government bond fund . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 VBD0 VBN0 IN0 NP0 NP1 NP2 NP3 ,0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
how many milliliters of the 5 % solution and the 10 % solution must she mix to make 50 milliliters of a 9 % vinegar solution ? CANNOTDISTRIBUTE	WRB0 JJ0 NNS0 IN0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 SQ0 SQ1 SQ2 SQ3 SQ4 SQ5 SQ6 SQ7 SQ8 SQ9 SQ10 SQ11 SQ12 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
there are 11 rulers and 34 crayons in the drawer . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there are 11 rulers in the drawer . there are 34 crayons in the drawer .
park workers will plant 37 orchid bushes today and 25 orchid bushes tomorrow . CANNOTDISTRIBUTE	NP0 NP1 MD0 VB0 NP0 NP1 NP2 NP0 CC0 NP0 NP1 NP2 NP0 .0 CANNOTDISTRIBUTE	park workers will plant 37 orchid bushes today . park workers will plant 25 orchid bushes tomorrow .
one of his loans was at 2 .8 % simple interest and the other at 4 .5 % . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VP0 VP1 VP2 VP3 VP4 VP5 VP6 CC0 VP0 VP1 VP2 VP3 VP4 VP5 .0 CANNOTDISTRIBUTE	one of his loans was at 2 .8 % simple interest . the other of his loans was at 4 .5 % simple interest .
find the amount of 6 percent acid solution and the amount of a 14 percent acid solution that pat should combine to prepare 50 cubic centimeters of 12 percent solution . . CANNOTDISTRIBUTE	VB0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 NP7 NP8 NP9 NP10 NP11 NP12 NP13 NP14 NP15 NP16 NP17 NP18 NP19 NP20 .0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
the johnson farm has 500 acres of land allotted for cultivating corn and wheat . CANNOTDISTRIBUTE	NP0 NP1 NP2 VBZ0 NP0 NP1 IN0 NN0 VBN0 IN0 VBG0 NN0 CC0 NN0 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
tickets to a movie were sold at 4 .00 dollars per adult and 2 .50 dollars per student . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 VBD0 VBN0 IN0 NP0 NP1 NP2 NP3 NP4 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	tickets to a movie were sold at 4 .00 dollars per adult . tickets to a movie were sold at 2 .50 dollars per student .
how many pounds of columbian beans and how many pounds of peruvian beans should be used ? CANNOTDISTRIBUTE	X0 X1 X2 X3 X4 X5 CC0 SBAR0 SBAR1 SBAR2 SBAR3 SBAR4 SBAR5 SBAR6 SBAR7 SBAR8 .0 CANNOTDISTRIBUTE	how many pounds of columbian beans should be used ? how many pounds of peruvian beans should be used ?
she finds 0 .25 bottle at the first table , 0 .25 bottle at the second table , and 0 .375 bottle at the third table . CANNOTDISTRIBUTE	NP0 VBZ0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 ,0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 ,0 CC0 NP0 NP1 NP2 NP3 NP4 NP5 NP6 .0 CANNOTDISTRIBUTE	she finds 0 .25 bottle at the first table . she finds 0 .25 bottle at the second table . she finds 0 .375 bottle at the third table .
so far , an orchard has sold a combined total of 9792 pounds of fresh and frozen fruit this season . CANNOTDISTRIBUTE	ADVP0 ADVP1 ,0 NP0 NP1 VBZ0 VBN0 NP0 NP1 NP2 IN0 NP0 NP1 IN0 JJ0 CC0 JJ0 NN0 NP0 NP1 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
for friday 's meeting , he bought 4 bags of bagels and 2 packages of cream cheese and paid 14 .00 dollars . CANNOTDISTRIBUTE	PP0 PP1 PP2 PP3 ,0 NP0 VBD0 NP0 NP1 NP2 NP3 CC0 NP0 NP1 NP2 NP3 NP4 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	for friday 's meeting , he bought 4 bags of bagels . for friday 's meeting , he bought 2 packages of cream cheese . for friday 's meeting , he paid 14 .00 dollars .
one integer is twice another , and their sum is 96 . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 ,0 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	one integer is twice another . their sum is 96 .
there are 33 pencils and 44 crayons in the drawer . CANNOTDISTRIBUTE	NP0 VBP0 NP0 NP1 CC0 NP0 NP1 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	there are 33 pencils in the drawer . there are 44 crayons in the drawer .
one number exceeds another by 10 and their sum is 34 . CANNOTDISTRIBUTE	S0 S1 S2 S3 S4 S5 CC0 S0 S1 S2 S3 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
a motorist drove 2 hours at one speed and then for 3 hours at another speed . CANNOTDISTRIBUTE	NP0 NP1 VP0 VP1 VP2 VP3 VP4 VP5 CC0 ADVP0 PP0 PP1 PP2 PP0 PP1 PP2 .0 CANNOTDISTRIBUTE	a motorist drove 2 hours at one speed . a motorist then drove 3 hours at another speed .
a total of 32,000 dollars is invested in 2 municipal bonds that pay 5 .75 % and 6 .25 % simple interest . CANNOTDISTRIBUTE	NP0 NP1 NP2 NP3 NP4 VBZ0 VBN0 IN0 NP0 NP1 NP2 WHNP0 VBP0 NP0 NP1 NP2 CC0 NP0 NP1 NP2 NP3 NP4 .0 CANNOTDISTRIBUTE	CANNOTDISTRIBUTE
he washed cars over the weekend and now has 86 dollars . CANNOTDISTRIBUTE	NP0 VP0 VP1 VP2 VP3 VP4 CC0 VP0 VP1 VP2 VP3 .0 CANNOTDISTRIBUTE	he washed cars over the weekend . he now has 86 dollars .
